x,y,yaw,speed
-0.625686,0.381544,-2.898001,0.400000
-0.735481,0.354257,-2.496954,0.400000
-0.817138,0.292869,-2.576444,0.400000
-0.929554,0.221581,-2.615613,0.400000
-1.029716,0.163434,-2.541919,0.400000
-1.138696,0.088929,-2.562606,0.400000
-1.233784,0.026768,-2.536478,0.400000
-1.339853,-0.046597,-2.518073,0.400000
-1.438092,-0.117254,-2.513453,0.400000
-1.534694,-0.187413,-2.565625,0.400000
-1.623102,-0.244827,-2.582584,0.400000
-1.716927,-0.303521,-2.570847,0.400000
-1.806801,-0.361222,-2.547838,0.400000
-1.894132,-0.420171,-2.578064,0.400000
-1.981991,-0.475687,-2.568340,0.400000
-2.082563,-0.540613,-2.537515,0.400000
-2.176005,-0.605101,-2.551777,0.400000
-2.269963,-0.667986,-2.486820,0.400000
-2.369159,-0.744145,-2.563559,0.400000
-2.481865,-0.817670,-2.607581,0.400000
-2.588053,-0.880461,-2.679550,0.400000
-2.686849,-0.929661,-2.622521,0.400000
-2.794454,-0.991139,-2.663351,0.400000
-2.900967,-1.046353,-2.688443,0.400000
-3.023229,-1.105888,-2.688535,0.400000
-3.136802,-1.161179,-2.664175,0.400000
-3.240244,-1.214693,-2.746997,0.400000
-3.343986,-1.257895,-2.695602,0.400000
-3.444580,-1.305991,-2.616229,0.400000
-3.536618,-1.359346,-2.492286,0.400000
-3.630491,-1.430606,-2.486112,0.400000
-3.719167,-1.498788,-2.423198,0.400000
-3.799163,-1.568723,-2.333280,0.400000
-3.877991,-1.651249,-1.981774,0.400000
-3.922479,-1.753334,-1.884603,0.400000
-3.955339,-1.854588,-1.918485,0.400000
-3.995023,-1.964088,-1.838420,0.400000
-4.024736,-2.072450,-1.857918,0.400000
-4.056280,-2.179277,-1.741574,0.400000
-4.073661,-2.280061,-1.735740,0.400000
-4.092209,-2.391490,-1.637840,0.400000
-4.100609,-2.516593,-1.512548,0.400000
-4.093597,-2.636837,-1.404521,0.400000
-4.075026,-2.747494,-1.311016,0.400000
-4.046993,-2.852966,-1.185286,0.400000
-4.002886,-2.961653,-1.013518,0.400000
-3.928525,-3.080981,-1.186330,0.400000
-3.884394,-3.190054,-0.947998,0.400000
-3.806997,-3.297828,-0.916129,0.400000
-3.731669,-3.395963,-0.812191,0.400000
-3.648982,-3.483204,-0.590658,0.400000
-3.544187,-3.553470,-0.448250,0.400000
-3.429327,-3.608706,-0.333851,0.400000
-3.321405,-3.646137,-0.213284,0.400000
-3.204057,-3.671552,-0.282344,0.400000
-3.089487,-3.704788,-0.273798,0.400000
-2.969890,-3.738377,-0.169926,0.400000
-2.849836,-3.758976,-0.120240,0.400000
-2.741471,-3.772069,-0.073095,0.400000
-2.619095,-3.781030,0.032550,0.400000
-2.498095,-3.777090,0.002119,0.400000
-2.376835,-3.776833,0.015144,0.400000
-2.257060,-3.775019,0.162970,0.400000
-2.117899,-3.752137,0.218626,0.400000
-1.996937,-3.725262,0.434081,0.400000
-1.869832,-3.666340,0.499836,0.400000
-1.748524,-3.600095,0.344535,0.400000
-1.654055,-3.566195,0.407709,0.400000
-1.549795,-3.521164,0.440244,0.400000
-1.436453,-3.467771,0.386345,0.400000
-1.327384,-3.423403,0.358686,0.400000
-1.216801,-3.381945,0.468998,0.400000
-1.124576,-3.335214,0.525283,0.400000
-1.038004,-3.285037,0.543926,0.400000
-0.935302,-3.222925,0.840806,0.400000
-0.856796,-3.135199,0.816791,0.400000
-0.785146,-3.058903,0.652335,0.400000
-0.700768,-2.994447,0.599307,0.400000
-0.611851,-2.933706,0.578734,0.400000
-0.515630,-2.870839,0.651004,0.400000
-0.435218,-2.809582,0.636605,0.400000
-0.352823,-2.748669,0.595062,0.400000
-0.261950,-2.687156,0.656554,0.400000
-0.175329,-2.620406,0.565914,0.400000
-0.083896,-2.562326,0.551214,0.400000
0.010091,-2.504545,0.499952,0.400000
0.102435,-2.454103,0.644968,0.400000
0.201694,-2.379431,0.571535,0.400000
0.301892,-2.314990,0.693427,0.400000
0.396500,-2.236360,0.561250,0.400000
0.504580,-2.168411,0.495159,0.400000
0.609716,-2.111634,0.382221,0.400000
0.725480,-2.065098,0.473900,0.400000
0.831637,-2.010652,0.458287,0.400000
0.943190,-1.955621,0.487434,0.400000
1.055081,-1.896308,0.584432,0.400000
1.151675,-1.832409,0.530108,0.400000
1.267975,-1.764250,0.600371,0.400000
1.379478,-1.687906,0.611794,0.400000
1.478581,-1.618376,0.752462,0.400000
1.571457,-1.531425,0.769447,0.400000
1.652336,-1.453086,0.807352,0.400000
1.732180,-1.369657,0.743372,0.400000
1.825813,-1.283581,0.765060,0.400000
1.915903,-1.197083,0.924986,0.400000
1.982417,-1.108823,1.196408,0.400000
2.025171,-1.000012,1.417657,0.400000
2.043828,-0.879136,1.447336,0.400000
2.058731,-0.759039,1.401166,0.400000
2.079407,-0.638322,1.453591,0.400000
2.094555,-0.509671,1.443101,0.400000
2.110697,-0.383949,1.402878,0.400000
2.130736,-0.265735,1.726256,0.400000
2.111910,-0.145613,1.882026,0.400000
2.073240,-0.025402,1.840118,0.400000
2.039739,0.095966,1.965301,0.400000
1.994257,0.205211,1.997248,0.400000
1.945876,0.311699,2.173946,0.400000
1.888188,0.395454,2.283731,0.400000
1.817703,0.476973,2.332570,0.400000
1.730372,0.568531,2.469193,0.400000
1.636020,0.643651,2.649665,0.400000
1.531914,0.699438,2.637434,0.400000
1.426421,0.757640,2.531574,0.400000
1.319221,0.832567,2.454742,0.400000
1.227287,0.907958,2.498712,0.400000
1.127757,0.982509,2.696279,0.400000
1.010794,1.038334,2.805237,0.400000
0.900092,1.077040,3.108731,0.400000
0.768434,1.081368,-3.007595,0.400000
0.659069,1.066625,-2.958506,0.400000
0.547749,1.046013,-2.945784,0.400000
0.421215,1.020915,-2.952409,0.400000
0.321854,1.001890,-2.999206,0.400000
0.214632,0.986519,-2.918494,0.400000
0.086125,0.957364,-2.821824,0.400000
-0.029149,0.919193,-2.761434,0.400000
-0.144145,0.873241,-2.572377,0.400000
-0.247883,0.806863,-2.514933,0.400000
-0.329227,0.747969,-2.626486,0.400000
-0.419403,0.696922,-1.866487,0.400000
-0.448653,0.600901,-1.895161,0.400000
-0.483622,0.496899,-2.175623,0.400000
-0.533290,0.425047,-2.701551,0.400000
